TLD,WHOIS,TYPE,NATIVE,MANAGER
exposed,whois.donuts.co,generic,exposed,"Binky Moon, LLC"
express,whois.donuts.co,generic,express,"Binky Moon, LLC"
extraspace,whois.nic.extraspace,generic,extraspace,Extra Space Storage LLC
fage,whois.nic.fage,generic,fage,Fage International S.A.
fail,whois.donuts.co,generic,fail,"Binky Moon, LLC"
fairwinds,whois.nic.fairwinds,generic,fairwinds,"FairWinds Partners, LLC"
faith,whois.nic.faith,generic,faith,dot Faith Limited
family,whois.donuts.co,generic,family,United TLD Holdco Ltd.
fan,whois.nic.fans,generic,fan,Asiamix Digital Ltd
fans,whois.nic.fans,generic,fans,Asiamix Digital Limited
farm,whois.donuts.co,generic,farm,"Binky Moon, LLC"
farmers,whois.nic.farmers,generic,farmers,Farmers Insurance Exchange
fashion,whois.nic.fashion,generic,fashion,Top Level Domain Holdings Limited
fast,whois.nic.fast,generic,fast,"Amazon Registry Services, Inc."
fedex,whois.nic.fedex,generic,fedex,Federal Express Corporation
feedback,whois.nic.feedback,generic,feedback,"Top Level Spectrum, Inc."
ferrari,whois.nic.ferrari,generic,ferrari,Fiat Chrysler Automobiles N.V.
ferrero,whois.nic.ferrero,generic,ferrero,Ferrero Trading Lux S.A.
fi,whois.fi,country-code,fi,Finnish Communications Regulatory Authority
fiat,whois.nic.fiat,generic,fiat,Fiat Chrysler Automobiles N.V.
fidelity,whois.nic.fidelity,generic,fidelity,Fidelity Brokerage Services LLC
fido,whois.nic.fido,generic,fido,Rogers Communications Canada Inc.
film,whois.nic.film,generic,film,Motion Picture Domain Registry Pty Ltd
final,whois.nic.final,generic,final,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
finance,whois.donuts.co,generic,finance,"Binky Moon, LLC"
financial,whois.donuts.co,generic,financial,"Binky Moon, LLC"
fire,whois.nic.fire,generic,fire,"Amazon Registry Services, Inc."
firestone,whois.nic.firestone,generic,firestone,"Bridgestone Licensing Services, Inc."
firmdale,whois.nic.firmdale,generic,firmdale,Firmdale Holdings Limited
fish,whois.donuts.co,generic,fish,"Binky Moon, LLC"
fishing,whois.nic.fishing,generic,fishing,Top Level Domain Holdings Limited
fit,whois.nic.fit,generic,fit,Minds + Machines Group Limited
fitness,whois.donuts.co,generic,fitness,"Binky Moon, LLC"
fj,,country-code,fj,The University of the South Pacific IT Services
fk,,country-code,fk,Falkland Islands Government
flickr,whois.nic.flickr,generic,flickr,Yahoo! Domain Services Inc.
flights,whois.donuts.co,generic,flights,"Binky Moon, LLC"
flir,whois.nic.flir,generic,flir,"FLIR Systems, Inc."
florist,whois.donuts.co,generic,florist,"Binky Moon, LLC"
flowers,whois.nic.flowers,generic,flowers,"Uniregistry, Corp."
flsmidth,,generic,flsmidth,Retired
fly,whois.nic.fly,generic,fly,Charleston Road Registry Inc.
fm,,country-code,fm,FSM Telecommunications Corporation
fo,whois.nic.fo,country-code,fo,FO Council
foo,whois.nic.foo,generic,foo,Charleston Road Registry Inc.
food,whois.nic.food,generic,food,"Lifestyle Domain Holdings, Inc."
foodnetwork,whois.nic.foodnetwork,generic,foodnetwork,"Lifestyle Domain Holdings, Inc."
football,whois.donuts.co,generic,football,"Binky Moon, LLC"
ford,whois.nic.ford,generic,ford,Ford Motor Company
forex,whois.nic.forex,generic,forex,DOTFOREX REGISTRY LTD
forsale,whois.donuts.co,generic,forsale,"United TLD Holdco, LLC"
forum,whois.nic.forum,generic,forum,"Fegistry, LLC"
foundation,whois.donuts.co,generic,foundation,"Binky Moon, LLC"
fox,whois.nic.fox,generic,fox,"FOX Registry, LLC"
fr,whois.nic.fr,country-code,fr,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
free,whois.nic.free,generic,free,"Amazon Registry Services, Inc."
fresenius,whois.nic.fresenius,generic,fresenius,Fresenius Immobilien-Verwaltungs-GmbH
frl,whois.nic.frl,generic,frl,FRLregistry B.V.
frogans,whois.nic.frogans,generic,frogans,OP3FT
frontdoor,whois.nic.frontdoor,generic,frontdoor,"Lifestyle Domain Holdings, Inc."
frontier,whois.nic.frontier,generic,frontier,Frontier Communications Corporation
ftr,whois.nic.ftr,generic,ftr,Frontier Communications Corporation
fujitsu,whois.nic.fujitsu,generic,fujitsu,Fujitsu Limited
fujixerox,whois.nic.fujixerox,generic,fujixerox,Xerox DNHC LLC
fun,whois.nic.fun,generic,fun,"DotSpace, Inc."
fund,whois.donuts.co,generic,fund,"Binky Moon, LLC"
furniture,whois.donuts.co,generic,furniture,"Binky Moon, LLC"
futbol,whois.donuts.co,generic,futbol,"United TLD Holdco, Ltd."
fyi,whois.donuts.co,generic,fyi,"Binky Moon, LLC"
ga,,country-code,ga,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF)
gal,whois.nic.gal,generic,gal,Asociación puntoGAL
gallery,whois.donuts.co,generic,gallery,"Binky Moon, LLC"
gallo,whois.nic.gallo,generic,gallo,"Gallo Vineyards, Inc."
gallup,whois.nic.gallup,generic,gallup,"Gallup, Inc."
game,whois.nic.game,generic,game,"Uniregistry, Corp."
games,whois.donuts.co,generic,games,United TLD Holdco Ltd.
gap,whois.nic.gap,generic,gap,"The Gap, Inc."
garden,whois.nic.garden,generic,garden,Top Level Domain Holdings Limited
gb,,country-code,gb,Reserved Domain - IANA
gbiz,whois.nic.gbiz,generic,gbiz,Charleston Road Registry Inc.
gd,whois.nic.gd,country-code,gd,The National Telecommunications Regulatory Commission (NTRC)
gdn,whois.nic.gdn,generic,gdn,"Joint Stock Company ""Navigation-information systems"""
ge,whois.registration.ge,country-code,ge,Caucasus Online LLC
gea,whois.nic.gea,generic,gea,GEA Group Aktiengesellschaft
gent,whois.nic.gent,generic,gent,Combell nv
genting,whois.nic.genting,generic,genting,Resorts World Inc. Pte. Ltd.
george,whois.nic.george,generic,george,"Wal-Mart Stores, Inc."
gf,whois.mediaserv.net,country-code,gf,Net Plus
gg,whois.gg,country-code,gg,Island Networks Ltd.
ggee,whois.nic.ggee,generic,ggee,"GMO Internet, Inc."
gh,,country-code,gh,Network Computer Systems Limited
gi,whois2.afilias-grs.net,country-code,gi,Sapphire Networks
gift,whois.nic.gift,generic,gift,"Uniregistry, Corp."
gifts,whois.donuts.co,generic,gifts,"Binky Moon, LLC"
gives,whois.donuts.co,generic,gives,United TLD Holdco Ltd.
giving,whois.nic.giving,generic,giving,Giving Limited
gl,whois.nic.gl,country-code,gl,TELE Greenland A/S
glade,whois.nic.glade,generic,glade,"Johnson Shareholdings, Inc."
glass,whois.donuts.co,generic,glass,"Binky Moon, LLC"
gle,whois.nic.gle,generic,gle,Charleston Road Registry Inc.
global,whois.nic.global,generic,global,Dot Global Domain Registry Limited
globo,whois.nic.globo,generic,globo,Globo Comunicação e Participações S.A
gm,,country-code,gm,GM-NIC
gmail,whois.nic.gmail,generic,gmail,Charleston Road Registry Inc.
gmbh,whois.donuts.co,generic,gmbh,"Binky Moon, LLC"
gmo,whois.nic.gmo,generic,gmo,"GMO Internet, Inc."
gmx,whois.nic.gmx,generic,gmx,1&1 Mail & Media GmbH
gn,,country-code,gn,Centre National des Sciences Halieutiques de Boussoura
godaddy,whois.nic.godaddy,generic,godaddy,"Go Daddy East, LLC"
gold,whois.donuts.co,generic,gold,"Binky Moon, LLC"
goldpoint,whois.nic.goldpoint,generic,goldpoint,"YODOBASHI CAMERA CO.,LTD."
golf,whois.donuts.co,generic,golf,"Binky Moon, LLC"
goo,whois.nic.goo,generic,goo,NTT Resonant Inc.
goodhands,whois.nic.goodhands,generic,goodhands,Allstate Fire and Casualty Insurance Company
goodyear,whois.nic.goodyear,generic,goodyear,The Goodyear Tire & Rubber Company
goog,whois.nic.goog,generic,goog,Charleston Road Registry Inc.
google,whois.nic.google,generic,google,Charleston Road Registry Inc.
gop,whois.nic.gop,generic,gop,"Republican State Leadership Committee, Inc."
got,whois.nic.got,generic,got,"Amazon Registry Services, Inc."
gov,whois.dotgov.gov,sponsored,gov,"General Services Administration Attn: QTDC, 2E08 (.gov Domain Registration)"
gp,,country-code,gp,Networking Technologies Group
gq,whois.dominio.gq,country-code,gq,GETESA
gr,,country-code,gr,ICS-FORTH GR
grainger,whois.nic.grainger,generic,grainger,"Grainger Registry Services, LLC"
graphics,whois.donuts.co,generic,graphics,"Binky Moon, LLC"
gratis,whois.donuts.co,generic,gratis,"Binky Moon, LLC"
green,whois.nic.green,generic,green,DotGreen Registry Limited
gripe,whois.donuts.co,generic,gripe,"Binky Moon, LLC"
grocery,whois.nic.grocery,generic,grocery,"Wal-Mart Stores, Inc."
group,whois.donuts.co,generic,group,"Binky Moon, LLC"
gs,whois.nic.gs,country-code,gs,Government of South Georgia and South Sandwich Islands (GSGSSI)
gt,,country-code,gt,Universidad del Valle de Guatemala
gu,,country-code,gu,University of Guam
guardian,whois.nic.guardian,generic,guardian,The Guardian Life Insurance Company of America
gucci,whois.nic.gucci,generic,gucci,Guccio Gucci S.p.a.
guge,whois.nic.guge,generic,guge,Charleston Road Registry Inc.
guide,whois.donuts.co,generic,guide,"Binky Moon, LLC"
guitars,whois.nic.guitars,generic,guitars,"Uniregistry, Corp."
guru,whois.donuts.co,generic,guru,"Binky Moon, LLC"
gw,,country-code,gw,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau
gy,whois.registry.gy,country-code,gy,University of Guyana
hair,whois.nic.hair,generic,hair,L'Oreal
hamburg,whois.nic.hamburg,generic,hamburg,Hamburg Top-Level-Domain GmbH
hangout,whois.nic.hangout,generic,hangout,Charleston Road Registry Inc.
haus,whois.donuts.co,generic,haus,"United TLD Holdco, LTD."
hbo,whois.nic.hbo,generic,hbo,"HBO Registry Services, Inc."
hdfc,whois.nic.hdfc,generic,hdfc,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED
hdfcbank,whois.nic.hdfcbank,generic,hdfcbank,HDFC Bank Limited
health,whois.nic.health,generic,health,"DotHealth, LLC"
healthcare,whois.donuts.co,generic,healthcare,"Binky Moon, LLC"
help,whois.nic.help,generic,help,"Uniregistry, Corp."
helsinki,whois.nic.helsinki,generic,helsinki,City of Helsinki
here,whois.nic.here,generic,here,Charleston Road Registry Inc.
hermes,whois.nic.hermes,generic,hermes,Hermes International
hgtv,whois.nic.hgtv,generic,hgtv,"Lifestyle Domain Holdings, Inc."
hiphop,whois.nic.hiphop,generic,hiphop,"Uniregistry, Corp."
hisamitsu,whois.nic.hisamitsu,generic,hisamitsu,"Hisamitsu Pharmaceutical Co.,Inc."
hitachi,whois.nic.hitachi,generic,hitachi,"Hitachi, Ltd."
hiv,whois.nic.hiv,generic,hiv,"Uniregistry, Corp."
hk,whois.hkirc.hk,country-code,hk,Hong Kong Internet Registration Corporation Ltd.
hkt,whois.nic.hkt,generic,hkt,PCCW-HKT DataCom Services Limited
hm,whois.registry.hm,country-code,hm,HM Domain Registry
hn,whois.nic.hn,country-code,hn,Red de Desarrollo Sostenible Honduras
hockey,whois.donuts.co,generic,hockey,"Binky Moon, LLC"
holdings,whois.donuts.co,generic,holdings,"Binky Moon, LLC"
holiday,whois.donuts.co,generic,holiday,"Binky Moon, LLC"
homedepot,whois.nic.homedepot,generic,homedepot,"Home Depot Product Authority, LLC"
homegoods,whois.nic.homegoods,generic,homegoods,"The TJX Companies, Inc."
homes,whois.nic.homes,generic,homes,"DERHomes, LLC"
homesense,whois.nic.homesense,generic,homesense,"The TJX Companies, Inc."
honda,whois.nic.honda,generic,honda,"Honda Motor Co., Ltd."
honeywell,whois.nic.honeywell,generic,honeywell,Honeywell GTLD LLC
horse,whois.nic.horse,generic,horse,Top Level Domain Holdings Limited
hospital,whois.donuts.co,generic,hospital,"Binky Moon, LLC"
host,whois.nic.host,generic,host,DotHost Inc.
hosting,whois.nic.hosting,generic,hosting,"Uniregistry, Corp."
hot,whois.nic.hot,generic,hot,"Amazon Registry Services, Inc."
hoteles,whois.nic.hoteles,generic,hoteles,Travel Reservations SRL
hotels,whois.nic.hotels,generic,hotels,Booking.com B.V.
hotmail,whois.nic.hotmail,generic,hotmail,Microsoft Corporation
house,whois.donuts.co,generic,house,"Binky Moon, LLC"
how,whois.nic.how,generic,how,Charleston Road Registry Inc.
hr,whois.dns.hr,country-code,hr,CARNet - Croatian Academic and Research Network
hsbc,whois.nic.hsbc,generic,hsbc,HSBC Global Services (UK) Limited
ht,whois.nic.ht,country-code,ht,Consortium FDS/RDDH
htc,,generic,htc,Not assigned
hu,whois.nic.hu,country-code,hu,Council of Hungarian Internet Providers (CHIP)
hughes,whois.nic.hughes,generic,hughes,Hughes Satellite Systems Corporation
hyatt,whois.nic.hyatt,generic,hyatt,"Hyatt GTLD, L.L.C."
hyundai,whois.nic.hyundai,generic,hyundai,Hyundai Motor Company
ibm,whois.nic.ibm,generic,ibm,International Business Machines Corporation
icbc,whois.nic.icbc,generic,icbc,Industrial and Commercial Bank of China Limited
ice,whois.nic.ice,generic,ice,"IntercontinentalExchange, Inc."
icu,whois.nic.icu,generic,icu,Shortdot SA
id,whois.id,country-code,id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
ie,whois.domainregistry.ie,country-code,ie,University College Dublin Computing Services Computer Centre
ieee,whois.nic.ieee,generic,ieee,IEEE Global LLC
ifm,whois.nic.ifm,generic,ifm,ifm electronic gmbh
iinet,,generic,iinet,Retired
ikano,whois.nic.ikano,generic,ikano,Ikano S.A.
il,whois.isoc.org.il,country-code,il,Internet Society of Israel
im,whois.nic.im,country-code,im,Isle of Man Government
imamat,whois.nic.imamat,generic,imamat,Fondation Aga Khan (Aga Khan Foundation)
imdb,whois.nic.imdb,generic,imdb,"Amazon Registry Services, Inc."
immo,whois.donuts.co,generic,immo,"Binky Moon, LLC"
immobilien,whois.donuts.co,generic,immobilien,United TLD Holdco Ltd.
in,whois.inregistry.net,country-code,in,National Internet Exchange of India
industries,whois.donuts.co,generic,industries,"Binky Moon, LLC"
infiniti,whois.nic.infiniti,generic,infiniti,"NISSAN MOTOR CO., LTD."
info,whois.afilias.net,generic,info,Afilias Limited
ing,whois.nic.ing,generic,ing,Charleston Road Registry Inc.
ink,whois.nic.ink,generic,ink,"Top Level Design, LLC"
institute,whois.donuts.co,generic,institute,"Binky Moon, LLC"
insurance,whois.nic.insurance,generic,insurance,fTLD Registry Services LLC
insure,whois.donuts.co,generic,insure,"Binky Moon, LLC"
int,whois.iana.org,sponsored,int,Internet Assigned Numbers Authority
intel,whois.nic.intel,generic,intel,Intel Corporation
international,whois.donuts.co,generic,international,"Binky Moon, LLC"
intuit,whois.nic.intuit,generic,intuit,"Intuit Administrative Services, Inc."
investments,whois.donuts.co,generic,investments,"Binky Moon, LLC"
io,whois.nic.io,country-code,io,IO Top Level Domain Registry Cable and Wireless
ipiranga,whois.nic.ipiranga,generic,ipiranga,Ipiranga Produtos de Petroleo S.A.
iq,whois.cmc.iq,country-code,iq,Communications and Media Commission (CMC)
ir,whois.nic.ir,country-code,ir,Institute for Research in Fundamental Sciences
irish,whois.donuts.co,generic,irish,"Binky Moon, LLC"
is,whois.isnic.is,country-code,is,ISNIC - Internet Iceland ltd.
iselect,whois.nic.iselect,generic,iselect,iSelect Ltd
ismaili,whois.nic.ismaili,generic,ismaili,Fondation Aga Khan (Aga Khan Foundation)
ist,whois.nic.ist,generic,ist,Istanbul Metropolitan Municipality
istanbul,whois.nic.istanbul,generic,istanbul,Istanbul Metropolitan Municipality
it,whois.nic.it,country-code,it,IIT - CNR
itau,whois.nic.itau,generic,itau,Itau Unibanco Holding S.A.
itv,whois.nic.itv,generic,itv,ITV Services Limited
iveco,whois.nic.iveco,generic,iveco,CNH Industrial N.V.
iwc,whois.nic.iwc,generic,iwc,Richemont DNS Inc.
jaguar,whois.nic.jaguar,generic,jaguar,Jaguar Land Rover Ltd
java,whois.nic.java,generic,java,Oracle Corporation
jcb,whois.nic.jcb,generic,jcb,"JCB Co., Ltd."
jcp,whois.nic.jcp,generic,jcp,"JCP Media, Inc."
je,whois.je,country-code,je,Island Networks (Jersey) Ltd.
jeep,whois.nic.jeep,generic,jeep,FCA US LLC.
jetzt,whois.donuts.co,generic,jetzt,"Binky Moon, LLC"
jewelry,whois.donuts.co,generic,jewelry,"Binky Moon, LLC"
jio,whois.nic.jio,generic,jio,"Affinity Names, Inc."
jlc,whois.nic.jlc,generic,jlc,Richemont DNS Inc.
jll,whois.nic.jll,generic,jll,Jones Lang LaSalle Incorporated
jm,,country-code,jm,University of West Indies
jmp,whois.nic.jmp,generic,jmp,Matrix IP LLC
jnj,whois.nic.jnj,generic,jnj,"Johnson & Johnson Services, Inc."
jo,,country-code,jo,National Information Technology Center (NITC)
jobs,webwhois.nic.jobs,sponsored,jobs,Employ Media LLC
joburg,whois.nic.joburg,generic,joburg,ZA Central Registry NPC trading as ZA Central Registry
jot,whois.nic.jot,generic,jot,"Amazon Registry Services, Inc."
joy,whois.nic.joy,generic,joy,"Amazon Registry Services, Inc."
jp,whois.jprs.jp,country-code,jp,"Japan Registry Services Co., Ltd."
jpmorgan,whois.nic.jpmorgan,generic,jpmorgan,"JPMorgan Chase Bank, National Association"
jprs,whois.nic.jprs,generic,jprs,"Japan Registry Services Co., Ltd."
juegos,whois.nic.juegos,generic,juegos,"Uniregistry, Corp."
juniper,whois.nic.juniper,generic,juniper,"JUNIPER NETWORKS, INC."
kaufen,whois.donuts.co,generic,kaufen,United TLD Holdco Ltd.
kddi,whois.nic.kddi,generic,kddi,KDDI CORPORATION
ke,whois.kenic.or.ke,country-code,ke,Kenya Network Information Center (KeNIC)
kerryhotels,whois.nic.kerryhotels,generic,kerryhotels,Kerry Trading Co. Limited
kerrylogistics,whois.nic.kerrylogistics,generic,kerrylogistics,Kerry Trading Co. Limited
kerryproperties,whois.nic.kerryproperties,generic,kerryproperties,Kerry Trading Co. Limited
kfh,whois.nic.kfh,generic,kfh,Kuwait Finance House
kg,whois.kg,country-code,kg,AsiaInfo Telecommunication Enterprise
kh,,country-code,kh,Telecommunication Regulator of Cambodia (TRC)
ki,whois.nic.ki,country-code,ki,"Ministry of Communications, Transport, and Tourism Development"
kia,whois.nic.kia,generic,kia,KIA MOTORS CORPORATION
kim,whois.nic.kim,generic,kim,Afilias plc
kinder,whois.nic.kinder,generic,kinder,Ferrero Trading Lux S.A.
kindle,whois.nic.kindle,generic,kindle,"Amazon Registry Services, Inc."
kitchen,whois.donuts.co,generic,kitchen,"Binky Moon, LLC"
kiwi,whois.nic.kiwi,generic,kiwi,DOT KIWI LIMITED
km,,country-code,km,Comores Telecom
kn,whois.nic.kn,country-code,kn,"Ministry of Finance, Sustainable Development Information & Technology"
koeln,whois.nic.koeln,generic,koeln,NetCologne Gesellschaft für Telekommunikation mbH
komatsu,whois.nic.komatsu,generic,komatsu,Komatsu Ltd.
kosher,whois.nic.kosher,generic,kosher,Kosher Marketing Assets LLC
kp,,country-code,kp,Star Joint Venture Company
kpmg,whois.nic.kpmg,generic,kpmg,KPMG International Cooperative (KPMG International Genossenschaft)
kpn,whois.nic.kpn,generic,kpn,Koninklijke KPN N.V.
kr,whois.kr,country-code,kr,Korea Internet & Security Agency (KISA)
krd,whois.nic.krd,generic,krd,KRG Department of Information Technology
kred,whois.nic.kred,generic,kred,KredTLD Pty Ltd
kuokgroup,whois.nic.kuokgroup,generic,kuokgroup,Kerry Trading Co. Limited
kw,,country-code,kw,Communications and Information Technology Regulatory Authority
ky,whois.kyregistry.ky,country-code,ky,Utility Regulation and Competition Office (OfReg)
kyoto,whois.nic.kyoto,generic,kyoto,Academic Institution: Kyoto Jyoho Gakuen
kz,whois.nic.kz,country-code,kz,Association of IT Companies of Kazakhstan
la,whois.nic.la,country-code,la,"Lao National Internet Committee (LANIC), Ministry of Posts and Telecommunications"
lacaixa,whois.nic.lacaixa,generic,lacaixa,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA
ladbrokes,whois.nic.ladbrokes,generic,ladbrokes,LADBROKES INTERNATIONAL PLC
lamborghini,whois.nic.lamborghini,generic,lamborghini,Automobili Lamborghini S.p.A.
lamer,whois.nic.lamer,generic,lamer,The Estée Lauder Companies Inc.
lancaster,whois.nic.lancaster,generic,lancaster,LANCASTER
lancia,whois.nic.lancia,generic,lancia,Fiat Chrysler Automobiles N.V.
lancome,whois.nic.lancome,generic,lancome,L'Oréal
land,whois.donuts.co,generic,land,"Binky Moon, LLC"
landrover,whois.nic.landrover,generic,landrover,Jaguar Land Rover Ltd
lanxess,whois.nic.lanxess,generic,lanxess,LANXESS Corporation
lasalle,whois.nic.lasalle,generic,lasalle,Jones Lang LaSalle Incorporated
lat,whois.nic.lat,generic,lat,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico
latino,whois.nic.latino,generic,latino,Dish DBS Corporation
latrobe,whois.nic.latrobe,generic,latrobe,La Trobe University
law,whois.nic.law,generic,law,Minds + Machines Group Limited
lawyer,whois.donuts.co,generic,lawyer,"United TLD Holdco, Ltd"
lb,,country-code,lb,American University of Beirut Computing and Networking Services
lc,,country-code,lc,University of Puerto Rico
lds,whois.nic.lds,generic,lds,"IRI Domain Management, LLC"
lease,whois.donuts.co,generic,lease,"Binky Moon, LLC"
leclerc,whois.nic.leclerc,generic,leclerc,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc
lefrak,whois.nic.lefrak,generic,lefrak,"LeFrak Organization, Inc."
legal,whois.donuts.co,generic,legal,"Binky Moon, LLC"
lego,whois.nic.lego,generic,lego,LEGO Juris A/S
lexus,whois.nic.lexus,generic,lexus,TOYOTA MOTOR CORPORATION
lgbt,whois.nic.lgbt,generic,lgbt,Afilias plc
li,whois.nic.li,country-code,li,SWITCH The Swiss Education & Research Network
liaison,whois.nic.liaison,generic,liaison,"Liaison Technologies, Incorporated"
lidl,whois.nic.lidl,generic,lidl,Schwarz Domains und Services GmbH & Co. KG
life,whois.donuts.co,generic,life,"Binky Moon, LLC"
lifeinsurance,whois.nic.lifeinsurance,generic,lifeinsurance,American Council of Life Insurers
lifestyle,whois.nic.lifestyle,generic,lifestyle,"Lifestyle Domain Holdings, Inc."
lighting,whois.donuts.co,generic,lighting,"Binky Moon, LLC"
like,whois.nic.like,generic,like,"Amazon Registry Services, Inc."
lilly,whois.nic.lilly,generic,lilly,Eli Lilly and Company
limited,whois.donuts.co,generic,limited,"Binky Moon, LLC"
limo,whois.donuts.co,generic,limo,"Binky Moon, LLC"
lincoln,whois.nic.lincoln,generic,lincoln,Ford Motor Company
linde,whois.nic.linde,generic,linde,Linde Aktiengesellschaft
link,whois.nic.link,generic,link,"Uniregistry, Corp."
lipsy,whois.nic.lipsy,generic,lipsy,Lipsy Ltd
live,whois.donuts.co,generic,live,United TLD Holdco Ltd.
living,whois.nic.living,generic,living,"Lifestyle Domain Holdings, Inc."
lixil,whois.nic.lixil,generic,lixil,LIXIL Group Corporation
lk,,country-code,lk,Council for Information Technology LK Domain Registrar
llc,whois.nic.LLC,generic,llc,Afilias plc
loan,whois.nic.loan,generic,loan,dot Loan Limited
loans,whois.donuts.co,generic,loans,"Binky Moon, LLC"
locker,whois.nic.locker,generic,locker,Dish DBS Corporation
locus,whois.nic.locus,generic,locus,Locus Analytics LLC
loft,whois.nic.loft,generic,loft,"Annco, Inc."
lol,whois.nic.lol,generic,lol,"Uniregistry, Corp."
london,whois.nic.london,generic,london,Dot London Domains Limited
lotte,whois.nic.lotte,generic,lotte,"Lotte Holdings Co., Ltd."
lotto,whois.nic.lotto,generic,lotto,Afilias plc
love,whois.nic.love,generic,love,Merchant Law Group LLP
lpl,whois.nic.lpl,generic,lpl,"LPL Holdings, Inc."
lplfinancial,whois.nic.lplfinancial,generic,lplfinancial,"LPL Holdings, Inc."
lr,,country-code,lr,"Data Technology Solutions, Inc."
ls,196.11.175.58,country-code,ls,National University of Lesotho
lt,whois.domreg.lt,country-code,lt,Kaunas University of Technology
ltd,whois.donuts.co,generic,ltd,"Binky Moon, LLC"
ltda,whois.nic.ltda,generic,ltda,InterNetX Corp.
lu,whois.dns.lu,country-code,lu,RESTENA
lundbeck,whois.nic.lundbeck,generic,lundbeck,H. Lundbeck A/S
lupin,whois.nic.lupin,generic,lupin,LUPIN LIMITED
luxe,whois.nic.luxe,generic,luxe,Top Level Domain Holdings Limited
luxury,whois.nic.luxury,generic,luxury,Luxury Partners LLC
lv,whois.nic.lv,country-code,lv,University of Latvia Institute of Mathematics and Computer Science Department of Network Solutions (DNS)
ly,whois.nic.ly,country-code,ly,General Post and Telecommunication Company
ma,whois.registre.ma,country-code,ma,Agence Nationale de Réglementation des Télécommunications (ANRT)
macys,whois.nic.macys,generic,macys,"Macys, Inc."
madrid,whois.nic.madrid,generic,madrid,Comunidad de Madrid
maif,whois.nic.maif,generic,maif,Mutuelle Assurance Instituteur France (MAIF)
maison,whois.donuts.co,generic,maison,"Binky Moon, LLC"
makeup,whois.nic.makeup,generic,makeup,L'Oréal
man,whois.nic.man,generic,man,MAN SE
management,whois.donuts.co,generic,management,"Binky Moon, LLC"
mango,whois.nic.mango,generic,mango,PUNTO FA S.L.
map,whois.nic.map,generic,map,Charleston Road Registry Inc.
market,whois.donuts.co,generic,market,"United TLD Holdco, Ltd"
marketing,whois.donuts.co,generic,marketing,"Binky Moon, LLC"
markets,whois.nic.markets,generic,markets,DOTMARKETS REGISTRY LTD
marriott,whois.nic.marriott,generic,marriott,Marriott Worldwide Corporation
marshalls,whois.nic.marshalls,generic,marshalls,"The TJX Companies, Inc."
maserati,whois.nic.maserati,generic,maserati,Fiat Chrysler Automobiles N.V.
mattel,whois.nic.mattel,generic,mattel,"Mattel Sites, Inc."
mba,whois.donuts.co,generic,mba,"Binky Moon, LLC"
mc,,country-code,mc,Gouvernement de Monaco Direction des Communications Electroniques
mcd,,generic,mcd,Not assigned
mcdonalds,,generic,mcdonalds,Not assigned
mckinsey,whois.nic.mckinsey,generic,mckinsey,"McKinsey Holdings, Inc."
md,whois.nic.md,country-code,md,MoldData S.E.
me,whois.nic.me,country-code,me,Government of Montenegro
med,whois.nic.med,generic,med,Medistry LLC
media,whois.donuts.co,generic,media,"Binky Moon, LLC"
meet,whois.nic.meet,generic,meet,Charleston Road Registry Inc.
melbourne,whois.nic.melbourne,generic,melbourne,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation"
meme,whois.nic.meme,generic,meme,Charleston Road Registry Inc.
memorial,whois.donuts.co,generic,memorial,"Dog Beach, LLC"
men,whois.nic.men,generic,men,Exclusive Registry Limited
menu,whois.nic.menu,generic,menu,"Wedding TLD2, LLC"
meo,whois.nic.meo,generic,meo,"MEO Serviços de Comunicações e Multimédia, S.A."
merckmsd,whois.nic.MERCKMSD,generic,merckmsd,"MSD Registry Holdings, Inc."
metlife,whois.nic.metlife,generic,metlife,"MetLife Services and Solutions, LLC"
mf,,country-code,mf,Not assigned
mg,whois.nic.mg,country-code,mg,NIC-MG (Network Information Center Madagascar)
mh,,country-code,mh,Office of the Cabinet
miami,whois.nic.miami,generic,miami,Top Level Domain Holdings Limited
microsoft,whois.nic.microsoft,generic,microsoft,Microsoft Corporation
mil,,sponsored,mil,DoD Network Information Center
mini,whois.nic.mini,generic,mini,Bayerische Motoren Werke Aktiengesellschaft
mint,whois.nic.mint,generic,mint,"Intuit Administrative Services, Inc."
mit,whois.nic.mit,generic,mit,Massachusetts Institute of Technology
mitsubishi,whois.nic.mitsubishi,generic,mitsubishi,Mitsubishi Corporation
mk,whois.marnet.mk,country-code,mk,Macedonian Academic Research Network Skopje
ml,whois.dot.ml,country-code,ml,Agence des Technologies de l’Information et de la Communication
mlb,whois.nic.mlb,generic,mlb,"MLB Advanced Media DH, LLC"
mls,whois.nic.mls,generic,mls,The Canadian Real Estate Association
mm,,country-code,mm,"Ministry of Communications, Posts & Telegraphs"
