TLD,WHOIS,TYPE,NATIVE,MANAGER
aw,whois.nic.aw,country-code,aw,SETAR
aws,whois.nic.aws,generic,aws,"Amazon Registry Services, Inc."
ax,whois.ax,country-code,ax,Ålands landskapsregering
axa,whois.nic.axa,generic,axa,AXA SA
az,,country-code,az,IntraNS
azure,whois.nic.azure,generic,azure,Microsoft Corporation
ba,,country-code,ba,Universtiy Telinformatic Centre (UTIC)
baby,whois.nic.baby,generic,baby,"Johnson & Johnson Services, Inc."
baidu,whois.nic.baidu,generic,baidu,"Baidu, Inc."
banamex,whois.nic.banamex,generic,banamex,Citigroup Inc.
bananarepublic,whois.nic.bananarepublic,generic,bananarepublic,"The Gap, Inc."
band,whois.donuts.co,generic,band,"United TLD Holdco, Ltd"
bank,whois.nic.bank,generic,bank,"fTLD Registry Services, LLC"
bar,whois.nic.bar,generic,bar,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
barcelona,whois.nic.barcelona,generic,barcelona,Municipi de Barcelona
barclaycard,whois.nic.barclaycard,generic,barclaycard,Barclays Bank PLC
barclays,whois.nic.barclays,generic,barclays,Barclays Bank PLC
barefoot,whois.nic.barefoot,generic,barefoot,"Gallo Vineyards, Inc."
bargains,whois.donuts.co,generic,bargains,"Binky Moon, LLC"
baseball,whois.nic.baseball,generic,baseball,"MLB Advanced Media DH, LLC"
basketball,whois.nic.basketball,generic,basketball,Fédération Internationale de Basketball (FIBA)
bauhaus,whois.nic.bauhaus,generic,bauhaus,Werkhaus GmbH
bayern,whois.nic.bayern,generic,bayern,Bayern Connect GmbH
bb,,country-code,bb,Government of Barbados Ministry of Economic Affairs and Development Telecommunications Unit
bbc,whois.nic.bbc,generic,bbc,British Broadcasting Corporation
bbt,whois.nic.bbt,generic,bbt,BB&T Corporation
bbva,whois.nic.bbva,generic,bbva,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
bcg,whois.nic.bcg,generic,bcg,"The Boston Consulting Group, Inc."
bcn,whois.nic.bcn,generic,bcn,Municipi de Barcelona
bd,,country-code,bd,Posts and Telecommunications Division
be,whois.dns.be,country-code,be,DNS Belgium vzw/asbl
beats,whois.nic.beats,generic,beats,"Beats Electronics, LLC"
beauty,whois.nic.beauty,generic,beauty,L'Oréal
beer,whois.nic.beer,generic,beer,Top Level Domain Holdings Limited
bentley,whois.nic.bentley,generic,bentley,Bentley Motors Limited
berlin,whois.nic.berlin,generic,berlin,dotBERLIN GmbH & Co. KG
best,whois.nic.best,generic,best,BestTLD Pty Ltd
bestbuy,whois.nic.bestbuy,generic,bestbuy,"BBY Solutions, Inc."
bet,whois.nic.bet,generic,bet,Afilias plc
bf,,country-code,bf,ARCE-AutoritÈ de RÈgulation des Communications Electroniques
bg,whois.register.bg,country-code,bg,Register.BG
bh,,country-code,bh,Telecommunications Regulatory Authority (TRA)
bharti,whois.nic.bharti,generic,bharti,Bharti Enterprises (Holding) Private Limited
bi,whois1.nic.bi,country-code,bi,Centre National de l'Informatique
bible,whois.nic.bible,generic,bible,American Bible Society
bid,whois.nic.bid,generic,bid,dot Bid Limited
bike,whois.donuts.co,generic,bike,"Binky Moon, LLC"
bing,whois.nic.bing,generic,bing,Microsoft Corporation
bingo,whois.donuts.co,generic,bingo,"Binky Moon, LLC"
bio,whois.nic.bio,generic,bio,STARTING DOT LIMITED
biz,www.whois.biz,generic-restricted,biz,"Neustar, Inc."
bj,whois.nic.bj,country-code,bj,Benin Telecoms S.A.
bl,,country-code,bl,Not assigned
black,whois.nic.black,generic,black,Afilias plc
blackfriday,whois.nic.blackfriday,generic,blackfriday,"Uniregistry, Corp."
blanco,whois.nic.blanco,generic,blanco,BLANCO GmbH + Co KG
blockbuster,whois.nic.blockbuster,generic,blockbuster,Dish DBS Corporation
blog,whois.nic.blog,generic,blog,"Knock Knock WHOIS There, LLC"
bloomberg,whois.nic.bloomberg,generic,bloomberg,Bloomberg IP Holdings LLC
blue,whois.nic.blue,generic,blue,Afilias plc
bm,,country-code,bm,"Registry General Department, Ministry of Home Affairs"
bms,whois.nic.bms,generic,bms,Bristol-Myers Squibb Company
bmw,whois.nic.bmw,generic,bmw,Bayerische Motoren Werke Aktiengesellschaft
bn,whois.bnnic.bn,country-code,bn,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI)
bnl,whois.nic.bnl,generic,bnl,Banca Nazionale del Lavoro
bnpparibas,whois.nic.bnpparibas,generic,bnpparibas,BNP Paribas
bo,whois.nic.bo,country-code,bo,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia
boats,whois.nic.boats,generic,boats,"DERBoats, LLC"
boehringer,whois.nic.boehringer,generic,boehringer,Boehringer Ingelheim International GmbH
bofa,whois.nic.bofa,generic,bofa,Bank of America Corporation
bom,whois.nic.bom,generic,bom,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
bond,whois.nic.bond,generic,bond,Bond University Limited
boo,whois.nic.boo,generic,boo,Charleston Road Registry Inc.
book,whois.nic.book,generic,book,"Amazon Registry Services, Inc."
booking,whois.nic.booking,generic,booking,Booking.com B.V.
boots,,generic,boots,Not assigned
bosch,whois.nic.bosch,generic,bosch,Robert Bosch GMBH
bostik,whois.nic.bostik,generic,bostik,Bostik SA
boston,whois.nic.boston,generic,boston,"Boston TLD Management, LLC"
bot,whois.nic.bot,generic,bot,"Amazon Registry Services, Inc."
boutique,whois.donuts.co,generic,boutique,"Binky Moon, LLC"
box,whois.nic.box,generic,box,NS1 Limited
bq,,country-code,bq,Not assigned
br,whois.registro.br,country-code,br,Comite Gestor da Internet no Brasil
bradesco,whois.nic.bradesco,generic,bradesco,Banco Bradesco S.A.
bridgestone,whois.nic.bridgestone,generic,bridgestone,Bridgestone Corporation
broadway,whois.nic.broadway,generic,broadway,"Celebrate Broadway, Inc."
broker,whois.nic.broker,generic,broker,DOTBROKER REGISTRY LTD
brother,whois.nic.brother,generic,brother,"Brother Industries, Ltd."
brussels,whois.nic.brussels,generic,brussels,DNS.be vzw
bs,,country-code,bs,The College of the Bahamas
bt,,country-code,bt,Ministry of Information and Communications
budapest,whois.nic.budapest,generic,budapest,Top Level Domain Holdings Limited
bugatti,whois.nic.bugatti,generic,bugatti,Bugatti International SA
build,whois.nic.build,generic,build,Plan Bee LLC
builders,whois.donuts.co,generic,builders,"Binky Moon, LLC"
business,whois.donuts.co,generic,business,"Binky Moon, LLC"
buy,whois.nic.buy,generic,buy,"Amazon Registry Services, INC"
buzz,whois.nic.buzz,generic,buzz,DOTSTRATEGY CO.
bv,,country-code,bv,UNINETT Norid A/S
bw,whois.nic.net.bw,country-code,bw,Botswana Communications Regulatory Authority (BOCRA)
by,whois.cctld.by,country-code,by,"Reliable Software, Ltd."
bz,,country-code,bz,University of Belize
bzh,whois.nic.bzh,generic,bzh,Association www.bzh
